Winter 2018,Office of the Registrar,5-Jan-18,,,,,,,
CRN,Course,Credits,Enrolled,WL Capacity,,,,,
22253,CIS 422 Software Method I,4,35,5,,,,,
Instructor,Days,Time,Location,,,,,,
"Faulk, Stuart",MWF,0900-0950,B040 Price Science Commons,,,,,,
,,,,,,,,,
**NOTE!** >> means the student has restricted release of directory information,,,,,,,,,
,,,,,,,,,
Student name,UO ID,Class,Major,Email,Notes,Prior Courses,Roles,Languages,Skills
"Lewis, Denise",100000000,SR,MACS,willy1@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","1:4,2:3","3:1,4:5,6:6","28:2,29:1,30:4,31:5"
"Sims, Angela",100000001,SR,CIS,willy2@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","4:1,6:5","5:6,1:5","38:3,37:1,34:6"
"Allen, Robin",100000002,SR,CIS,willy3@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","2:5,5:5",7:4,"38:3,37:1,34:6"
"Carroll, Bruce",100000003,SR,CIS,willy4@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","3:1,4:5,6:6","3:6,4:5,5:6","28:5,29:1,32:4,31:5,40:5"
"Gray, Steven",100000004,SR,CIS,willy5@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","1:6,3:6","2:5,5:5","38:3,37:1,34:6"
"Campbell, Nicole",100000005,SR,LING,willy6@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","1:4,2:3","1:6,4:6","28:2,29:1,30:4,31:5"
"Lopez, Peter",100000006,SR,MACS,willy7@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","3:1,4:5,6:6","4:6,2:5","38:3,37:1,34:6"
"Diaz, Michael",100000007,SR,CIS,willy8@wonka.com,,"1:4.3,3:3,5:3.7,6:4,17:4","2:5,5:5","3:6,4:5,5:6","38:3,37:1,34:6"
"Murray, Debra",100000008,SR,CIS,willy9@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","4:6,2:5","5:6,1:5","28:5,29:1,32:4,31:5,40:5"
"Phillips, Irene",100000009,SR,CIS,willy10@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","1:6,4:6",7:3,"28:2,29:1,30:4,31:5"
"Parker, Stephen",100000010,SR,CIS,willy11@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","4:1,6:5","3:1,4:5,6:6","38:3,37:1,34:6"
"West, Billy",100000011,SR,CIS,willy12@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","3:6,4:5,5:6","2:5,5:5","38:3,37:1,34:6"
"Gibson, Amanda",100000012,SR,CIS,willy13@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","3:1,4:5,6:6","1:6,4:6","28:5,29:1,32:4,31:5,40:5"
"Burton, John",100000013,P,CIS,willy14@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","5:6,1:5","3:1,4:5,6:6","38:3,37:1,34:6"
"Weaver, Rebecca",100000014,SR,CIS,willy15@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","1:4,2:3","7:2,3:5","28:2,29:1,30:4,31:5"
"Oliver, Cynthia",100000015,SR,CIS,willy16@wonka.com,,"1:4,3:4,5:3.3,6:3.3,17:4.3 ","3:6,4:5,5:6","7:6,4:1","38:3,37:1,34:6"
"Thompson, Russell",100000016,SR,CIS,willy17@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","2:5,5:5","4:6,2:5","38:3,37:1,34:6"
"Ward, Rachel",100000017,SR,CIS,willy18@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","1:6,4:6","4:6,2:5","28:2,29:1,30:4,31:5"
"Simmons, Ann",100000018,SR,CIS,willy19@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","4:6,2:5","4:1,6:5","38:3,37:1,34:6"
"Mitchell, Sharon",100000019,SR,CIS,willy20@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","3:6,4:5,5:6","3:1,4:5","38:3,37:1,34:6"
"Turner, Lawrence",100000020,SR,CIS,willy21@wonka.com,,"1:4.3,3:4,5:1,6:4,17:4.3","5:6,1:5","2:5,5:5","28:5,29:1,32:4,31:5,40:5"
"Morgan, Craig",100000021,SR,CIS,willy22@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3 ","4:1,6:5","3:1,4:5,6:6","38:3,37:1,34:6"
"Robertson, Roger",100000022,SR,CIS,willy23@wonka.com,,"1:4.3,3:4,5:3.7,6:4,17:4.3","3:1,4:5,6:6","1:4,2:3","28:2,29:1,30:4,31:5"
"Howell, Nancy",100000023,SR,PHYS,willy24@wonka.com,,"1:3.3,3:4,5:3.7,6:4,17:4.3","2:5,5:5","1:4,2:3","38:3,37:1,34:6"
